gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Cartilage precursors	Chondrocytes	Perichondrium	Stromal cells	Cardiomyocytes	Muscle progenitors	Mesoderm	Mesenchymal progenitors	Lateral plate mesoderm	Limb bud mesoderm	Limb bud mesenchyme	Myocytes	Branchial arch mesenchyme	Intermediate mesoderm	Osteoblasts	Dermomyotome	Vascular smooth muscle	Osteoprogenitors	Endothelial cells	Apical ectodermal ridge	Hind limb lateral plate mesoderm	Myotome	Periosteum
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS08E13FAF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.006	0.037	0.012	0.01	0.018	0.007	0.0	0.005	0.313	0.009	0.002	0.008	0.0	0.005	0.0	0.023	0.0	0.006	0.067	0.137	0.044	0.062	0.0
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.044	0.114	0.059	0.091	0.086	0.101	0.035	0.045	0.116	0.094	0.101	0.08	0.033	0.141	0.048	0.0	0.023	0.02	0.074	0.0	0.193	0.0	0.055
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0A93C11C8	0.028	0.064	0.043	0.074	0.036	0.103	0.008	0.054	0.018	0.029	0.02	0.118	0.058	0.017	0.075	0.024	0.111	0.016	0.019	0.0	0.0	0.0	0.0
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.746	0.87	1.158	1.457	1.256	1.124	0.56	0.942	0.931	0.739	0.858	1.981	0.906	1.483	0.924	1.052	1.041	0.664	0.509	0.276	1.531	1.25	0.831
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS0C23EF34B	0.746	0.87	1.158	1.457	1.256	1.124	0.56	0.942	0.931	0.739	0.858	1.981	0.906	1.483	0.924	1.052	1.041	0.664	0.509	0.276	1.531	1.25	0.831
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.28	0.351	0.355	0.246	0.257	0.414	0.281	0.266	0.308	0.36	0.307	0.389	0.227	0.342	0.258	0.275	0.231	0.219	0.111	0.0	0.227	0.204	0.26
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.0	0.008	0.001	0.003	0.0	0.005	0.0	0.001	0.0	0.0	0.005	0.002	0.004	0.004	0.0	0.0	0.036	0.0	0.122	0.0	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.28	0.351	0.355	0.246	0.257	0.414	0.281	0.266	0.308	0.36	0.307	0.389	0.227	0.342	0.258	0.275	0.231	0.219	0.111	0.0	0.227	0.204	0.26
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.008	0.001	0.003	0.0	0.005	0.0	0.001	0.0	0.0	0.005	0.002	0.004	0.004	0.0	0.0	0.036	0.0	0.122	0.0	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.28	0.351	0.355	0.246	0.257	0.414	0.281	0.266	0.308	0.36	0.307	0.389	0.227	0.342	0.258	0.275	0.231	0.219	0.111	0.0	0.227	0.204	0.26
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.008	0.001	0.003	0.0	0.005	0.0	0.001	0.0	0.0	0.005	0.002	0.004	0.004	0.0	0.0	0.036	0.0	0.122	0.0	0.0	0.0	0.0
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.286	0.28	0.232	0.298	0.273	0.966	0.302	0.244	0.141	0.215	0.279	0.369	0.225	0.26	0.263	0.2	0.795	0.194	0.137	0.132	0.138	0.244	0.187
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B42AD9EF	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.009	0.091	0.01	0.022	0.008	0.01	0.007	0.009	0.031	0.01	0.007	0.027	0.024	0.009	0.005	0.0	0.024	0.024	0.13	0.344	0.044	0.117	0.063
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.038	0.091	0.086	0.07	0.061	0.036	0.048	0.058	0.046	0.045	0.058	0.059	0.056	0.095	0.029	0.044	0.028	0.049	0.074	0.0	0.051	0.058	0.057
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0E5AF12B6	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.039	0.078	0.045	0.171	0.046	0.086	0.01	0.058	0.018	0.013	0.035	0.146	0.033	0.045	0.03	0.142	0.4	0.032	0.417	0.0	0.03	0.262	0.0
FZD9	O00144	False	FZD9_HUMAN		CPI-SS030EDC420	0.004	0.0	0.0	0.003	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.025	0.0	0.002	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FZD9	O00144	False	FZD9_HUMAN		CPI-SS05C2D0200	0.004	0.0	0.0	0.003	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.025	0.0	0.002	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
FZD9	O00144	False	FZD9_HUMAN		CPI-SS09FF3A1EA	0.004	0.0	0.0	0.003	0.0	0.004	0.0	0.002	0.0	0.0	0.0	0.025	0.0	0.002	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0DBFB8BEA	0.001	0.004	0.001	0.005	0.0	0.0	0.0	0.003	0.0	0.009	0.002	0.001	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS05B7D3407	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS03821C2C6	0.004	0.0	0.002	0.009	0.0	0.011	0.0	0.001	0.003	0.0	0.002	0.008	0.0	0.004	0.003	0.0	0.022	0.0	0.009	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS052BBD9F9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS0ABF41CAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.004	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0
CCL7	P80098	False	CCL7_HUMAN		CPI-SS07EC65CED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL11	P51671	False	CCL11_HUMAN		CPI-SS0CB2E8B21	0.0	0.0	0.001	0.003	0.003	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.172	0.097	0.171	0.211	0.146	0.19	0.154	0.154	0.177	0.174	0.187	0.212	0.161	0.191	0.194	0.113	0.285	0.213	0.181	0.0	0.132	0.24	0.208
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	0.002	0.005	0.01	0.003	0.009	0.0	0.0	0.007	0.013	0.0	0.0	0.0	0.0	0.021	0.004	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCG	P01275	False	GLUC_HUMAN		CPI-SS006FB5198	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GIP	P09681	False	GIP_HUMAN		CPI-SS018B35889	0.0	0.003	0.001	0.003	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0
NPPB	P16860	False	ANFB_HUMAN		CPI-SS0652F5D15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0D377BBBF	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCG	P01275	False	GLUC_HUMAN		CPI-SS056993231	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALCA	P01258	False	CALC_HUMAN		CPI-SS015B2F961	0.005	0.018	0.001	0.0	0.003	0.006	0.0	0.003	0.0	0.0	0.007	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CALCA	P06881	False	CALCA_HUMAN		CPI-SS0F531DDEB	0.005	0.018	0.001	0.0	0.003	0.006	0.0	0.003	0.0	0.0	0.007	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CALCB	P10092	False	CALCB_HUMAN		CPI-SS07CF0C6E7	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.056
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.172	0.097	0.171	0.211	0.146	0.19	0.154	0.154	0.177	0.174	0.187	0.212	0.161	0.191	0.194	0.113	0.285	0.213	0.181	0.0	0.132	0.24	0.208
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	0.002	0.005	0.01	0.003	0.009	0.0	0.0	0.007	0.013	0.0	0.0	0.0	0.0	0.021	0.004	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0747FCACD	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS062DED513	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GHRH	P01286	False	SLIB_HUMAN		CPI-SS003AFD9BA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCT	P09683	False	SECR_HUMAN		CPI-SS0EC70F078	0.001	0.0	0.001	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.002	0.03	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS02CCE14A7	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPB	P16860	False	ANFB_HUMAN		CPI-SS023D39112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS04A7BCE8D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0
NPPB	P16860	False	ANFB_HUMAN		CPI-SS0779676D0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS0230EE330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0098B5107	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCT	P09683	False	SECR_HUMAN		CPI-SS021F26C73	0.001	0.0	0.001	0.0	0.0	0.001	0.009	0.0	0.0	0.0	0.002	0.03	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0133239EA	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.001	0.002	0.002	0.002	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.013	0.002	0.007	0.0	0.0	0.022	0.0	0.165	0.0	0.0	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.609	0.354	0.568	0.548	0.503	0.401	0.506	0.518	0.549	0.617	0.546	0.399	0.534	0.564	0.436	0.462	0.269	0.613	0.241	0.235	0.556	0.592	0.839
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0984C2931	0.002	0.0	0.002	0.003	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.147	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.017	0.009	0.027	0.029	0.047	0.027	0.027	0.019	0.028	0.024	0.026	0.021	0.024	0.021	0.031	0.0	0.0	0.017	0.036	0.0	0.127	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0472C478C	0.094	0.258	0.028	0.048	0.041	0.05	0.035	0.06	0.051	0.047	0.124	0.039	0.034	0.064	0.106	0.065	0.025	0.055	0.007	0.548	0.024	0.074	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0CB863B46	0.511	0.149	0.466	0.261	0.303	0.07	0.099	0.169	0.168	0.241	0.68	0.096	0.301	0.169	0.749	0.302	0.092	0.324	0.08	0.535	0.043	0.3	0.147
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.609	0.354	0.568	0.548	0.503	0.401	0.506	0.518	0.549	0.617	0.546	0.399	0.534	0.564	0.436	0.462	0.269	0.613	0.241	0.235	0.556	0.592	0.839
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.001	0.002	0.002	0.002	0.0	0.001	0.0	0.003	0.0	0.0	0.004	0.008	0.002	0.005	0.011	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.045
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.001	0.001	0.007	0.0	0.0	0.0	0.0	0.004	0.007	0.0	0.003	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.001	0.002	0.002	0.002	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.013	0.002	0.007	0.0	0.0	0.022	0.0	0.165	0.0	0.0	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.001	0.002	0.002	0.002	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.013	0.002	0.007	0.0	0.0	0.022	0.0	0.165	0.0	0.0	0.0	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.021	0.014	0.007	0.045	0.029	0.388	0.017	0.015	0.07	0.043	0.01	0.235	0.014	0.009	0.005	0.0	0.092	0.004	0.026	0.0	0.032	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SC033E22B14	0.001	0.002	0.002	0.002	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.013	0.002	0.007	0.0	0.0	0.022	0.0	0.165	0.0	0.0	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.001	0.002	0.002	0.002	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.013	0.002	0.007	0.0	0.0	0.022	0.0	0.165	0.0	0.0	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	0.609	0.354	0.568	0.548	0.503	0.401	0.506	0.518	0.549	0.617	0.546	0.399	0.534	0.564	0.436	0.462	0.269	0.613	0.241	0.235	0.556	0.592	0.839
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	0.631	0.66	1.244	1.124	0.99	0.528	0.794	1.327	1.096	1.345	1.164	0.63	1.17	1.894	0.782	1.033	0.258	1.331	0.333	1.463	1.407	0.452	0.795
MDK	P21741	False	MK_HUMAN		CPI-SS012AFC842	0.609	0.354	0.568	0.548	0.503	0.401	0.506	0.518	0.549	0.617	0.546	0.399	0.534	0.564	0.436	0.462	0.269	0.613	0.241	0.235	0.556	0.592	0.839
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	0.631	0.66	1.244	1.124	0.99	0.528	0.794	1.327	1.096	1.345	1.164	0.63	1.17	1.894	0.782	1.033	0.258	1.331	0.333	1.463	1.407	0.452	0.795
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS048604E28	0.002	0.0	0.002	0.003	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.147	0.0	0.0	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0193C3064	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0D782F60B	0.011	0.047	0.026	0.021	0.014	0.007	0.024	0.008	0.089	0.01	0.009	0.017	0.004	0.051	0.031	0.0	0.02	0.006	0.015	0.0	0.0	0.0	0.0
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS080C0EEB8	0.002	0.0	0.002	0.003	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.147	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.511	0.149	0.466	0.261	0.303	0.07	0.099	0.169	0.168	0.241	0.68	0.096	0.301	0.169	0.749	0.302	0.092	0.324	0.08	0.535	0.043	0.3	0.147
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0DC5ADBF1	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0CA020C34	0.011	0.047	0.026	0.021	0.014	0.007	0.024	0.008	0.089	0.01	0.009	0.017	0.004	0.051	0.031	0.0	0.02	0.006	0.015	0.0	0.0	0.0	0.0
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0E4DE8215	0.0	0.0	0.025	0.021	0.008	0.0	0.244	0.008	0.012	0.034	0.005	0.004	0.007	0.013	0.003	0.028	0.0	0.0	0.003	0.0	0.085	0.0	0.0
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0E7523314	0.005	0.002	0.003	0.022	0.002	0.0	0.0	0.001	0.004	0.0	0.011	0.011	0.006	0.004	0.0	0.0	0.0	0.006	0.008	0.0	0.0	0.0	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D81C6C1D	0.003	0.006	0.01	0.059	0.003	0.005	0.0	0.006	0.013	0.017	0.003	0.024	0.009	0.005	0.004	0.0	0.0	0.005	0.025	0.132	0.0	0.0	0.0
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0261EA048	0.002	0.0	0.002	0.003	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.147	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.511	0.149	0.466	0.261	0.303	0.07	0.099	0.169	0.168	0.241	0.68	0.096	0.301	0.169	0.749	0.302	0.092	0.324	0.08	0.535	0.043	0.3	0.147
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02C418D99	0.0	0.0	0.025	0.021	0.008	0.0	0.244	0.008	0.012	0.034	0.005	0.004	0.007	0.013	0.003	0.028	0.0	0.0	0.003	0.0	0.085	0.0	0.0
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0097929A7	0.094	0.258	0.028	0.048	0.041	0.05	0.035	0.06	0.051	0.047	0.124	0.039	0.034	0.064	0.106	0.065	0.025	0.055	0.007	0.548	0.024	0.074	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.511	0.149	0.466	0.261	0.303	0.07	0.099	0.169	0.168	0.241	0.68	0.096	0.301	0.169	0.749	0.302	0.092	0.324	0.08	0.535	0.043	0.3	0.147
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS05550A895	0.0	0.003	0.002	0.026	0.004	0.002	0.0	0.003	0.0	0.0	0.0	0.006	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0D4F593F1	0.511	0.149	0.466	0.261	0.303	0.07	0.099	0.169	0.168	0.241	0.68	0.096	0.301	0.169	0.749	0.302	0.092	0.324	0.08	0.535	0.043	0.3	0.147
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	0.053	0.037	0.048	0.079	0.039	0.053	0.108	0.045	0.061	0.056	0.053	0.032	0.084	0.044	0.065	0.043	0.0	0.027	0.019	0.0	0.057	0.0	0.103
